{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.788113', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.890534', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.997900', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.103018', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.206344', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.5, 'lipoC3S2': 7.64, 'rot1': 1, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.308735', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 4, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 2, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.412004', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 4, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 2, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.515465', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 4, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.5, 'lipoC3S2': 7.64, 'rot1': 2, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.618108', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 4, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 3, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.720548', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 4, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 3, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.823901', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 4, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 3, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:29.927372', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 4, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
