{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 4.43, 'datetime': '2018-10-09 12:06:11.551825', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 13, 'pitch': 4.38, 'roll': -0.23, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 4.64, 'datetime': '2018-10-09 12:06:11.561755', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 13, 'pitch': 4.44, 'roll': -0.47, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 4.8, 'datetime': '2018-10-09 12:06:11.571492', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 13, 'pitch': 4.33, 'roll': -0.52, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 4.97, 'datetime': '2018-10-09 12:06:11.581352', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 13, 'pitch': 4.03, 'roll': -0.32, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 5.13, 'datetime': '2018-10-09 12:06:11.592156', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 13, 'pitch': 3.69, 'roll': 0.02, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 5.32, 'datetime': '2018-10-09 12:06:11.605765', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 13, 'pitch': 3.46, 'roll': 0.32, 'pres': 184}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 5.57, 'datetime': '2018-10-09 12:06:11.709099', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 3.46, 'roll': 0.38, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 5.81, 'datetime': '2018-10-09 12:06:11.812481', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 14, 'pitch': 3.71, 'roll': 0.17, 'pres': 184}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 6.04, 'datetime': '2018-10-09 12:06:11.916791', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 4.04, 'roll': -0.12, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 6.25, 'datetime': '2018-10-09 12:06:12.020127', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 4.3, 'roll': -0.28, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 6.46, 'datetime': '2018-10-09 12:06:12.124023', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 4.43, 'roll': -0.17, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 6.69, 'datetime': '2018-10-09 12:06:12.228092', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 4.55, 'roll': 0.15, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 6.96, 'datetime': '2018-10-09 12:06:12.331440', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 4.79, 'roll': 0.49, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 7.21, 'datetime': '2018-10-09 12:06:12.435987', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 5.19, 'roll': 0.56, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 7.45, 'datetime': '2018-10-09 12:06:12.539373', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 14, 'pitch': 5.66, 'roll': 0.36, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 7.65, 'datetime': '2018-10-09 12:06:12.642733', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 5.79, 'roll': 0.12, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 7.82, 'datetime': '2018-10-09 12:06:12.749909', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 5.61, 'roll': -0.06, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.25, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 8.02, 'datetime': '2018-10-09 12:06:12.853587', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 15, 'pitch': 5.23, 'roll': -0.19, 'pres': 184}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 8.2, 'datetime': '2018-10-09 12:06:12.956760', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 4.83, 'roll': -0.27, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 8.4, 'datetime': '2018-10-09 12:06:13.060047', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 4.38, 'roll': -0.33, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 8.59, 'datetime': '2018-10-09 12:06:13.163599', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 3.9, 'roll': -0.38, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 8.81, 'datetime': '2018-10-09 12:06:13.266955', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 3.44, 'roll': -0.45, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 9.07, 'datetime': '2018-10-09 12:06:13.370264', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 3.42, 'roll': -0.52, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 9.34, 'datetime': '2018-10-09 12:06:13.479486', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 3.92, 'roll': -0.54, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 9.62, 'datetime': '2018-10-09 12:06:13.584071', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 15, 'pitch': 4.92, 'roll': -0.63, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 9.93, 'datetime': '2018-10-09 12:06:13.688476', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 16, 'pitch': 5.8, 'roll': -0.7, 'pres': 186}
