{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.77, 'datetime': '2018-10-03 17:24:06.680198', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 3, 'pitch': -7.44, 'roll': 0.18, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.85, 'datetime': '2018-10-03 17:24:06.689704', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 3, 'pitch': -7.26, 'roll': 0.12, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.93, 'datetime': '2018-10-03 17:24:06.699192', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 3, 'pitch': -7.11, 'roll': 0.04, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.02, 'datetime': '2018-10-03 17:24:06.708649', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 3, 'pitch': -6.91, 'roll': 0.0, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.08, 'datetime': '2018-10-03 17:24:06.718317', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 4, 'pitch': -6.78, 'roll': -0.05, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.09, 'datetime': '2018-10-03 17:24:06.808878', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 4, 'pitch': -6.71, 'roll': -0.15, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.09, 'datetime': '2018-10-03 17:24:06.912011', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 4, 'pitch': -6.68, 'roll': -0.28, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.1, 'datetime': '2018-10-03 17:24:07.016244', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -6.73, 'roll': -0.46, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.13, 'datetime': '2018-10-03 17:24:07.119936', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -6.93, 'roll': -0.55, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.24, 'datetime': '2018-10-03 17:24:07.223728', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -7.31, 'roll': -0.53, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.33, 'datetime': '2018-10-03 17:24:07.326858', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -7.62, 'roll': -0.4, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.43, 'datetime': '2018-10-03 17:24:07.429965', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -7.87, 'roll': -0.34, 'pres': 211}
