{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.5, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.23, 'datetime': '2018-10-10 00:17:56.602201', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -3.71, 'roll': 0.49, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.5, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.43, 'datetime': '2018-10-10 00:17:56.705405', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -4.08, 'roll': 0.43, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.51, 'datetime': '2018-10-10 00:17:56.809005', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 3, 'pitch': -4.21, 'roll': 0.53, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.55, 'datetime': '2018-10-10 00:17:56.918530', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.29, 'roll': 0.96, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.72, 'datetime': '2018-10-10 00:17:57.022090', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.28, 'roll': 1.68, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.75, 'datetime': '2018-10-10 00:17:57.126540', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.17, 'roll': 2.36, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.66, 'datetime': '2018-10-10 00:17:57.229743', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.0, 'roll': 2.93, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.31, 'datetime': '2018-10-10 00:17:57.333006', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.03, 'roll': 3.1, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.68, 'datetime': '2018-10-10 00:17:57.437563', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.35, 'roll': 2.84, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -6.75, 'datetime': '2018-10-10 00:17:57.540674', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.92, 'roll': 2.21, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.88, 'datetime': '2018-10-10 00:17:57.644008', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 4, 'pitch': -5.26, 'roll': 1.61, 'pres': 176}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.11, 'datetime': '2018-10-10 00:17:57.747356', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -5.24, 'roll': 1.03, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.65, 'datetime': '2018-10-10 00:17:57.850359', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -4.72, 'roll': 0.69, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.69, 'datetime': '2018-10-10 00:17:57.953593', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 5, 'pitch': -4.14, 'roll': 0.69, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.02, 'datetime': '2018-10-10 00:17:58.056807', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 5, 'pitch': -3.89, 'roll': 1.07, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.31, 'datetime': '2018-10-10 00:17:58.160226', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 5, 'pitch': -4.24, 'roll': 1.52, 'pres': 176}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.35, 'datetime': '2018-10-10 00:17:58.263419', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 5, 'pitch': -4.55, 'roll': 1.87, 'pres': 175}
