{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -32.39, 'datetime': '2018-10-09 13:51:08.402243', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 420, 'pitch': -66.49, 'roll': -76.83, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.76, 'datetime': '2018-10-09 13:51:08.507591', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 420, 'pitch': -66.3, 'roll': -77.59, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -29.82, 'datetime': '2018-10-09 13:51:08.611801', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 420, 'pitch': -65.9, 'roll': -77.72, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -29.45, 'datetime': '2018-10-09 13:51:08.715917', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -65.49, 'roll': -77.5, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -29.22, 'datetime': '2018-10-09 13:51:08.824469', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -65.11, 'roll': -77.38, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -28.79, 'datetime': '2018-10-09 13:51:08.928966', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -64.74, 'roll': -77.78, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -28.21, 'datetime': '2018-10-09 13:51:09.032509', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -64.29, 'roll': -78.6, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -27.72, 'datetime': '2018-10-09 13:51:09.136875', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -63.72, 'roll': -79.56, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -27.47, 'datetime': '2018-10-09 13:51:09.240786', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -63.09, 'roll': -80.29, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -27.28, 'datetime': '2018-10-09 13:51:09.345354', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -62.53, 'roll': -80.93, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -26.95, 'datetime': '2018-10-09 13:51:09.449384', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 421, 'pitch': -62.3, 'roll': -81.61, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -26.25, 'datetime': '2018-10-09 13:51:09.555349', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 421, 'pitch': -62.49, 'roll': -82.36, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -25.34, 'datetime': '2018-10-09 13:51:09.659211', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 421, 'pitch': -63.02, 'roll': -83.14, 'pres': 190}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -24.94, 'datetime': '2018-10-09 13:51:09.766965', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 422, 'pitch': -63.63, 'roll': -83.34, 'pres': 189}
