{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.43, 'datetime': '2018-10-09 23:47:58.524615', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 2, 'pitch': 5.7, 'roll': -2.37, 'pres': 170}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.51, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.54, 'datetime': '2018-10-09 23:47:58.543865', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 3, 'pitch': 3.04, 'roll': -1.04, 'pres': 170}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.18, 'datetime': '2018-10-09 23:47:58.563055', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': 0.35, 'roll': 0.27, 'pres': 169}
{'lipoC2': 7.29, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.68, 'datetime': '2018-10-09 23:47:58.576573', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 3, 'pitch': -1.88, 'roll': 1.3, 'pres': 168}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.34, 'datetime': '2018-10-09 23:47:58.594891', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 3, 'pitch': -4.01, 'roll': 2.56, 'pres': 168}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.51, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.32, 'datetime': '2018-10-09 23:47:58.614666', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 3, 'pitch': -4.54, 'roll': 3.74, 'pres': 168}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -6.07, 'datetime': '2018-10-09 23:47:58.627988', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 3, 'pitch': -3.96, 'roll': 4.47, 'pres': 168}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.11, 'datetime': '2018-10-09 23:47:58.647242', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': -2.8, 'roll': 4.7, 'pres': 169}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.7, 'datetime': '2018-10-09 23:47:58.666419', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': -1.43, 'roll': 4.69, 'pres': 169}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.01, 'datetime': '2018-10-09 23:47:58.679762', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': -0.29, 'roll': 4.73, 'pres': 169}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.3, 'datetime': '2018-10-09 23:47:58.700290', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 3, 'pitch': 0.46, 'roll': 4.63, 'pres': 169}
{'lipoC2': 7.29, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.47, 'datetime': '2018-10-09 23:47:58.718995', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 4, 'pitch': 1.16, 'roll': 4.53, 'pres': 170}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.51, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.49, 'datetime': '2018-10-09 23:47:58.732324', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 4, 'pitch': 2.15, 'roll': 4.28, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.51, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -8.33, 'datetime': '2018-10-09 23:47:58.748559', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 4, 'pitch': 3.09, 'roll': 3.73, 'pres': 171}
{'lipoC2': 7.29, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.95, 'datetime': '2018-10-09 23:47:58.764615', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 4, 'pitch': 3.85, 'roll': 3.01, 'pres': 173}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -7.44, 'datetime': '2018-10-09 23:47:58.774799', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 4, 'pitch': 4.35, 'roll': 2.69, 'pres': 172}
{'lipoC2': 7.27, 'lipoC3S1': 3.77, 'temp': 30.38, 'lipoC3S3': 11.46, 'lipoC3S2': 7.58, 'rot1': 0, 'rot0': 0, 'rot3': 1, 'rot2': 0, 'state': 'normal', 'yaw': -7.03, 'datetime': '2018-10-09 23:47:58.791048', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 4, 'pitch': 4.45, 'roll': 2.33, 'pres': 177}
{'lipoC2': 7.28, 'lipoC3S1': 3.77, 'temp': 30.31, 'lipoC3S3': 11.43, 'lipoC3S2': 7.57, 'rot1': 0, 'rot0': 0, 'rot3': 2, 'rot2': 1, 'state': 'normal', 'yaw': -7.03, 'datetime': '2018-10-09 23:47:58.807188', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 4, 'pitch': 4.44, 'roll': 2.3, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.78, 'temp': 30.31, 'lipoC3S3': 11.47, 'lipoC3S2': 7.6, 'rot1': 0, 'rot0': 0, 'rot3': 3, 'rot2': 2, 'state': 'normal', 'yaw': -7.42, 'datetime': '2018-10-09 23:47:58.817373', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 4, 'pitch': 4.48, 'roll': 2.94, 'pres': 174}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.31, 'lipoC3S3': 11.42, 'lipoC3S2': 7.6, 'rot1': 0, 'rot0': 0, 'rot3': 4, 'rot2': 2, 'state': 'normal', 'yaw': -8.01, 'datetime': '2018-10-09 23:47:58.833419', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 4, 'pitch': 4.17, 'roll': 3.8, 'pres': 174}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.31, 'lipoC3S3': 11.44, 'lipoC3S2': 7.58, 'rot1': 0, 'rot0': 0, 'rot3': 5, 'rot2': 3, 'state': 'normal', 'yaw': -9.04, 'datetime': '2018-10-09 23:47:58.849451', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 4, 'pitch': 3.5, 'roll': 4.52, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.79, 'temp': 30.31, 'lipoC3S3': 11.48, 'lipoC3S2': 7.59, 'rot1': 0, 'rot0': 0, 'rot3': 6, 'rot2': 4, 'state': 'normal', 'yaw': -10.35, 'datetime': '2018-10-09 23:47:58.859643', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 5, 'pitch': 2.8, 'roll': 4.92, 'pres': 175}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.31, 'lipoC3S3': 11.43, 'lipoC3S2': 7.57, 'rot1': 0, 'rot0': 0, 'rot3': 7, 'rot2': 4, 'state': 'normal', 'yaw': -11.71, 'datetime': '2018-10-09 23:47:58.875684', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 5, 'pitch': 2.43, 'roll': 5.17, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.78, 'temp': 30.31, 'lipoC3S3': 11.48, 'lipoC3S2': 7.59, 'rot1': 0, 'rot0': 0, 'rot3': 8, 'rot2': 5, 'state': 'normal', 'yaw': -12.93, 'datetime': '2018-10-09 23:47:58.891717', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 5, 'pitch': 2.68, 'roll': 5.06, 'pres': 173}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.31, 'lipoC3S3': 11.44, 'lipoC3S2': 7.57, 'rot1': 0, 'rot0': 0, 'rot3': 9, 'rot2': 6, 'state': 'normal', 'yaw': -14.09, 'datetime': '2018-10-09 23:47:58.901922', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 5, 'pitch': 3.35, 'roll': 4.56, 'pres': 171}
