{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.86, 'datetime': '2018-10-09 13:02:54.538508', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': 2.07, 'roll': -0.28, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.7, 'datetime': '2018-10-09 13:02:54.547951', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 3, 'pitch': 2.82, 'roll': -0.27, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.43, 'datetime': '2018-10-09 13:02:54.557453', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 4, 'pitch': 3.87, 'roll': -0.61, 'pres': 187}
{'lipoC2': 7.43, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.07, 'datetime': '2018-10-09 13:02:54.566991', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 4, 'pitch': 3.92, 'roll': -1.27, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.97, 'datetime': '2018-10-09 13:02:54.576682', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 4, 'pitch': 3.45, 'roll': -1.99, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.83, 'datetime': '2018-10-09 13:02:54.586189', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 4, 'pitch': 2.67, 'roll': -2.76, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.43, 'datetime': '2018-10-09 13:02:54.595647', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 4, 'pitch': 2.06, 'roll': -3.56, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.04, 'datetime': '2018-10-09 13:02:54.605069', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 4, 'pitch': 2.09, 'roll': -4.37, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.76, 'datetime': '2018-10-09 13:02:54.614466', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 4, 'pitch': 2.55, 'roll': -5.08, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.66, 'datetime': '2018-10-09 13:02:54.623879', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 4, 'pitch': 3.26, 'roll': -5.46, 'pres': 188}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.6, 'datetime': '2018-10-09 13:02:54.633301', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 4, 'pitch': 4.18, 'roll': -5.55, 'pres': 188}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.06, 'datetime': '2018-10-09 13:02:54.642758', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 4, 'pitch': 4.77, 'roll': -5.5, 'pres': 189}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.5, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.91, 'datetime': '2018-10-09 13:02:54.672430', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 5, 'pitch': 4.97, 'roll': -5.41, 'pres': 189}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.5, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.26, 'datetime': '2018-10-09 13:02:54.775546', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 5, 'pitch': 5.01, 'roll': -5.25, 'pres': 189}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.5, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.3, 'datetime': '2018-10-09 13:02:54.879016', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 5, 'pitch': 4.54, 'roll': -5.07, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.27, 'datetime': '2018-10-09 13:02:54.982229', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 5, 'pitch': 3.63, 'roll': -4.87, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 8.09, 'datetime': '2018-10-09 13:02:55.086229', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 5, 'pitch': 2.49, 'roll': -4.48, 'pres': 189}
