{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -37.38, 'datetime': '2018-10-05 19:50:55.787985', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 58, 'pitch': -14.03, 'roll': -0.74, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -36.67, 'datetime': '2018-10-05 19:50:55.892249', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 58, 'pitch': -14.67, 'roll': -0.51, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -36.2, 'datetime': '2018-10-05 19:50:55.997811', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 58, 'pitch': -14.73, 'roll': -0.64, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -35.9, 'datetime': '2018-10-05 19:50:56.101987', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 58, 'pitch': -14.54, 'roll': -1.07, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -35.9, 'datetime': '2018-10-05 19:50:56.207527', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 58, 'pitch': -14.39, 'roll': -1.62, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -36.15, 'datetime': '2018-10-05 19:50:56.311789', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 58, 'pitch': -14.11, 'roll': -2.28, 'pres': 163}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -36.61, 'datetime': '2018-10-05 19:50:56.415998', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 58, 'pitch': -13.64, 'roll': -2.81, 'pres': 163}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -37.2, 'datetime': '2018-10-05 19:50:56.520178', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 58, 'pitch': -13.05, 'roll': -3.28, 'pres': 163}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -37.69, 'datetime': '2018-10-05 19:50:56.624409', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 58, 'pitch': -12.54, 'roll': -3.59, 'pres': 163}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.17, 'datetime': '2018-10-05 19:50:56.728606', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 58, 'pitch': -12.04, 'roll': -3.76, 'pres': 163}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.56, 'datetime': '2018-10-05 19:50:56.832800', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -11.88, 'roll': -3.96, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.66, 'datetime': '2018-10-05 19:50:56.937082', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -12.09, 'roll': -4.17, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.51, 'datetime': '2018-10-05 19:50:57.041418', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -12.45, 'roll': -4.3, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.27, 'datetime': '2018-10-05 19:50:57.145598', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -12.58, 'roll': -4.28, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -37.94, 'datetime': '2018-10-05 19:50:57.251000', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -12.53, 'roll': -4.11, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -37.8, 'datetime': '2018-10-05 19:50:57.355235', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -12.43, 'roll': -3.7, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -37.88, 'datetime': '2018-10-05 19:50:57.460780', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 59, 'pitch': -12.43, 'roll': -3.19, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.14, 'datetime': '2018-10-05 19:50:57.564968', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -12.37, 'roll': -2.53, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.36, 'datetime': '2018-10-05 19:50:57.669170', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 59, 'pitch': -12.08, 'roll': -1.97, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.61, 'datetime': '2018-10-05 19:50:57.773364', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 59, 'pitch': -11.69, 'roll': -1.45, 'pres': 161}
