{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.25, 'datetime': '2018-10-05 20:20:54.962774', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.53, 'roll': -5.38, 'pres': 172}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.25, 'datetime': '2018-10-05 20:20:55.066898', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.53, 'roll': -5.19, 'pres': 172}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.31, 'datetime': '2018-10-05 20:20:55.171596', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.5, 'roll': -5.12, 'pres': 172}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.46, 'datetime': '2018-10-05 20:20:55.275783', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.37, 'roll': -5.18, 'pres': 172}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.59, 'datetime': '2018-10-05 20:20:55.381313', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.32, 'roll': -5.23, 'pres': 172}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.69, 'datetime': '2018-10-05 20:20:55.485465', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.37, 'roll': -5.28, 'pres': 172}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.74, 'datetime': '2018-10-05 20:20:55.591050', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.56, 'roll': -5.32, 'pres': 172}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 9.92, 'datetime': '2018-10-05 20:20:55.695210', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.71, 'roll': -5.51, 'pres': 172}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 10.15, 'datetime': '2018-10-05 20:20:55.800742', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 52, 'pitch': -27.51, 'roll': -5.82, 'pres': 172}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 10.39, 'datetime': '2018-10-05 20:20:55.904921', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 53, 'pitch': -27.13, 'roll': -6.2, 'pres': 172}
