{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.69, 'datetime': '2018-10-09 11:38:10.206085', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 3.75, 'roll': -1.37, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.73, 'datetime': '2018-10-09 11:38:10.310048', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 3.8, 'roll': -1.41, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.81, 'datetime': '2018-10-09 11:38:10.412998', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 3.48, 'roll': -1.42, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.9, 'datetime': '2018-10-09 11:38:10.515876', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 3.15, 'roll': -1.43, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -158.96, 'datetime': '2018-10-09 11:38:10.618669', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 3.16, 'roll': -1.43, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.0, 'datetime': '2018-10-09 11:38:10.721574', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 3.76, 'roll': -1.43, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.02, 'datetime': '2018-10-09 11:38:10.824434', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 4.6, 'roll': -1.43, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.04, 'datetime': '2018-10-09 11:38:10.927340', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 5.37, 'roll': -1.43, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.13, 'datetime': '2018-10-09 11:38:11.030236', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 5.76, 'roll': -1.44, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.2, 'datetime': '2018-10-09 11:38:11.133095', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 138, 'pitch': 5.5, 'roll': -1.44, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.21, 'datetime': '2018-10-09 11:38:11.237248', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 4.88, 'roll': -1.45, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.19, 'datetime': '2018-10-09 11:38:11.338921', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 4.26, 'roll': -1.47, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.21, 'datetime': '2018-10-09 11:38:11.442318', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 3.78, 'roll': -1.42, 'pres': 0}
