{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -140.78, 'datetime': '2018-10-09 11:35:31.755200', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': 4.6, 'roll': 0.05, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -141.22, 'datetime': '2018-10-09 11:35:31.765259', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 4.18, 'roll': 0.04, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -141.65, 'datetime': '2018-10-09 11:35:31.775324', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 3.97, 'roll': -0.05, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -142.28, 'datetime': '2018-10-09 11:35:31.785354', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 4.02, 'roll': -0.26, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.5, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -142.71, 'datetime': '2018-10-09 11:35:31.795474', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 4.3, 'roll': -0.53, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.5, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -143.11, 'datetime': '2018-10-09 11:35:31.804973', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 4.81, 'roll': -0.8, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.5, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -143.58, 'datetime': '2018-10-09 11:35:31.814404', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 5.32, 'roll': -0.91, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -144.04, 'datetime': '2018-10-09 11:35:31.823885', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 5.64, 'roll': -0.82, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -144.44, 'datetime': '2018-10-09 11:35:31.833391', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 5.6, 'roll': -0.56, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -145.0, 'datetime': '2018-10-09 11:35:31.842893', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 5.26, 'roll': -0.33, 'pres': 0}
