{'lipoC2': 7.52, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.44, 'datetime': '2018-10-10 00:40:54.307729', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 3, 'pitch': -4.88, 'roll': 0.81, 'pres': 173}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.73, 'datetime': '2018-10-10 00:40:54.410954', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 3, 'pitch': -5.12, 'roll': 0.6, 'pres': 174}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.68, 'datetime': '2018-10-10 00:40:54.514162', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 4, 'pitch': -5.14, 'roll': 0.02, 'pres': 174}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.55, 'datetime': '2018-10-10 00:40:54.618727', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 4, 'pitch': -4.62, 'roll': -0.59, 'pres': 174}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.24, 'datetime': '2018-10-10 00:40:54.722726', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 4, 'pitch': -4.04, 'roll': -0.68, 'pres': 174}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.03, 'datetime': '2018-10-10 00:40:54.826362', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 4, 'pitch': -3.54, 'roll': -0.29, 'pres': 175}
{'lipoC2': 7.53, 'lipoC3S1': 4.03, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.02, 'datetime': '2018-10-10 00:40:54.929800', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 4, 'pitch': -2.77, 'roll': 0.19, 'pres': 176}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.85, 'datetime': '2018-10-10 00:40:55.033046', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 4, 'pitch': -2.07, 'roll': 0.53, 'pres': 176}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.47, 'datetime': '2018-10-10 00:40:55.137536', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 4, 'pitch': -1.9, 'roll': 0.47, 'pres': 176}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.91, 'datetime': '2018-10-10 00:40:55.241304', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 4, 'pitch': -2.42, 'roll': 0.05, 'pres': 177}
{'lipoC2': 7.52, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.18, 'datetime': '2018-10-10 00:40:55.344499', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 4, 'pitch': -3.43, 'roll': -0.59, 'pres': 177}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.49, 'datetime': '2018-10-10 00:40:55.447768', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 4, 'pitch': -3.94, 'roll': -1.13, 'pres': 177}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.75, 'datetime': '2018-10-10 00:40:55.551194', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 5, 'pitch': -3.69, 'roll': -1.6, 'pres': 178}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.98, 'datetime': '2018-10-10 00:40:55.659160', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 5, 'pitch': -2.78, 'roll': -2.1, 'pres': 178}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.51, 'datetime': '2018-10-10 00:40:55.764430', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 5, 'pitch': -2.11, 'roll': -2.58, 'pres': 179}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.42, 'datetime': '2018-10-10 00:40:55.867530', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 5, 'pitch': -2.09, 'roll': -3.12, 'pres': 179}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.43, 'datetime': '2018-10-10 00:40:55.970853', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 5, 'pitch': -2.44, 'roll': -3.55, 'pres': 179}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.21, 'datetime': '2018-10-10 00:40:56.073975', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 5, 'pitch': -2.42, 'roll': -3.57, 'pres': 180}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-10 00:40:56.178452', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 5, 'pitch': -1.76, 'roll': -3.23, 'pres': 180}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.62, 'datetime': '2018-10-10 00:40:56.281647', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 5, 'pitch': -0.93, 'roll': -2.7, 'pres': 179}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.02, 'datetime': '2018-10-10 00:40:56.384793', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 5, 'pitch': -0.86, 'roll': -2.43, 'pres': 179}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.62, 'datetime': '2018-10-10 00:40:56.489343', 'mgs': 0, 'volt': 0.874, 'depth': 1.157, 'time': 6, 'pitch': -1.73, 'roll': -2.4, 'pres': 179}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.94, 'datetime': '2018-10-10 00:40:56.592552', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 6, 'pitch': -3.11, 'roll': -2.34, 'pres': 180}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.58, 'datetime': '2018-10-10 00:40:56.695760', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 6, 'pitch': -3.74, 'roll': -2.01, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-10 00:40:56.800297', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 6, 'pitch': -3.22, 'roll': -1.48, 'pres': 180}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.09, 'datetime': '2018-10-10 00:40:56.903467', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 6, 'pitch': -1.92, 'roll': -1.06, 'pres': 180}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-10 00:40:57.006759', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 6, 'pitch': -0.85, 'roll': -0.89, 'pres': 180}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.21, 'datetime': '2018-10-10 00:40:57.109834', 'mgs': 0, 'volt': 0.8789, 'depth': 1.233, 'time': 6, 'pitch': -0.52, 'roll': -0.74, 'pres': 180}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.51, 'datetime': '2018-10-10 00:40:57.212961', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 6, 'pitch': -1.07, 'roll': -0.3, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.88, 'datetime': '2018-10-10 00:40:57.316285', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 6, 'pitch': -1.87, 'roll': 0.52, 'pres': 181}
