{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.28, 'datetime': '2018-10-03 17:46:46.053544', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -5.74, 'roll': 0.96, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.29, 'datetime': '2018-10-03 17:46:46.063458', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -5.79, 'roll': 1.05, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.28, 'datetime': '2018-10-03 17:46:46.073361', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -5.84, 'roll': 1.09, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.28, 'datetime': '2018-10-03 17:46:46.083666', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -5.87, 'roll': 1.1, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.29, 'datetime': '2018-10-03 17:46:46.093617', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -5.87, 'roll': 1.08, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.29, 'datetime': '2018-10-03 17:46:46.103498', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 3, 'pitch': -5.89, 'roll': 1.01, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.29, 'datetime': '2018-10-03 17:46:46.113403', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 3, 'pitch': -5.9, 'roll': 0.74, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.29, 'datetime': '2018-10-03 17:46:46.123270', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 3, 'pitch': -5.9, 'roll': 0.31, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.29, 'datetime': '2018-10-03 17:46:46.133155', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 3, 'pitch': -5.91, 'roll': -0.08, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.3, 'datetime': '2018-10-03 17:46:46.143025', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 3, 'pitch': -5.91, 'roll': -0.44, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.3, 'datetime': '2018-10-03 17:46:46.152892', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 3, 'pitch': -5.92, 'roll': -0.7, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.3, 'datetime': '2018-10-03 17:46:46.162805', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -5.91, 'roll': -0.88, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.33, 'datetime': '2018-10-03 17:46:46.172700', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -5.92, 'roll': -0.99, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.4, 'datetime': '2018-10-03 17:46:46.182653', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 4, 'pitch': -5.95, 'roll': -0.99, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.47, 'datetime': '2018-10-03 17:46:46.192703', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -5.88, 'roll': -0.8, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.54, 'datetime': '2018-10-03 17:46:46.202624', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -5.8, 'roll': -0.53, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.55, 'datetime': '2018-10-03 17:46:46.212876', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -6.0, 'roll': -0.54, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.53, 'datetime': '2018-10-03 17:46:46.222802', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -6.15, 'roll': -0.56, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.46, 'datetime': '2018-10-03 17:46:46.232722', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -6.16, 'roll': -0.5, 'pres': 211}
