{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:02.183504', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.73, 'roll': -32.0, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.193507', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.72, 'roll': -32.02, 'pres': 160}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.203380', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.72, 'roll': -32.03, 'pres': 160}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.213241', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.72, 'roll': -32.04, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.223134', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 286, 'pitch': 23.72, 'roll': -32.04, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.286626', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.05, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.391258', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.05, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.497092', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.07, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.601683', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 287, 'pitch': 23.72, 'roll': -32.07, 'pres': 159}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.707546', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.07, 'pres': 160}
