{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.010380', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.28, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.021036', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.032007', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.042684', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 2, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.138298', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.241774', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.25, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.346213', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.25, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.449470', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.556937', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.661528', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
